Country,Continent,Capital,Flag,Outline
Hungary,Europe,Budapest,static\countries\hu\hu.png,static\countries\hu\1024.png
Indonesia,Asia,Jakarta,static\countries\id\id.png,static\countries\id\1024.png
Ireland,Europe,Dublin,static\countries\ie\ie.png,static\countries\ie\1024.png
Israel,Asia,Jerusalem,static\countries\il\il.png,static\countries\il\1024.png
India,Asia,New Delhi,static\countries\in\in.png,static\countries\in\1024.png
Iraq,Asia,Baghdad,static\countries\iq\iq.png,static\countries\iq\1024.png
Iran,Asia,Tehran,static\countries\ir\ir.png,static\countries\ir\1024.png
Iceland,Europe,Reykjavik,static\countries\is\is.png,static\countries\is\1024.png
Italy,Europe,Rome,static\countries\it\it.png,static\countries\it\1024.png
Jamaica,North America,Kingston,static\countries\jm\jm.png,static\countries\jm\1024.png
Jordan,Asia,Amman,static\countries\jo\jo.png,static\countries\jo\1024.png
Japan,Asia,Tokyo,static\countries\jp\jp.png,static\countries\jp\1024.png
Kenya,Africa,Nairobi,static\countries\ke\ke.png,static\countries\ke\1024.png
Kyrgyzstan,Asia,Bishkek,static\countries\kg\kg.png,static\countries\kg\1024.png
Cambodia,Asia,Phnom Penh,static\countries\kh\kh.png,static\countries\kh\1024.png
Kiribati,Oceania,Tarawa,static\countries\ki\ki.png,static\countries\ki\1024.png
Comoros,Africa,Moroni,static\countries\km\km.png,static\countries\km\1024.png
Saint Kitts and Nevis,North America,Basseterre,static\countries\kn\kn.png,static\countries\kn\1024.png
North Korea,Asia,Pyongyang,static\countries\kp\kp.png,static\countries\kp\1024.png
South Korea,Asia,Seoul,static\countries\kr\kr.png,static\countries\kr\1024.png
Kuwait,Asia,Kuwait City,static\countries\kw\kw.png,static\countries\kw\1024.png
Cayman Islands,North America,George Town,static\countries\ky\ky.png,static\countries\ky\1024.png
Kazakhstan,Asia,Nur-Sultan,static\countries\kz\kz.png,static\countries\kz\1024.png
Laos,Asia,Vientiane,static\countries\la\la.png,static\countries\la\1024.png
Lebanon,Asia,Beirut,static\countries\lb\lb.png,static\countries\lb\1024.png
Saint Lucia,North America,Castries,static\countries\lc\lc.png,static\countries\lc\1024.png
Liechtenstein,Europe,Vaduz,static\countries\li\li.png,static\countries\li\1024.png
Sri Lanka,Asia,Sri Jayawardenepura Kotte,static\countries\lk\lk.png,static\countries\lk\1024.png
Liberia,Africa,Monrovia,static\countries\lr\lr.png,static\countries\lr\1024.png
Lesotho,Africa,Maseru,static\countries\ls\ls.png,static\countries\ls\1024.png
Lithuania,Europe,Vilnius,static\countries\lt\lt.png,static\countries\lt\1024.png
Luxembourg,Europe,Luxembourg,static\countries\lu\lu.png,static\countries\lu\1024.png
Latvia,Europe,Riga,static\countries\lv\lv.png,static\countries\lv\1024.png
Libya,Africa,Tripoli,static\countries\ly\ly.png,static\countries\ly\1024.png
Morocco,Africa,Rabat,static\countries\ma\ma.png,static\countries\ma\1024.png
Monaco,Europe,Monaco,static\countries\mc\mc.png,static\countries\mc\1024.png
Moldova,Europe,Chișinău,static\countries\md\md.png,static\countries\md\1024.png
Montenegro,Europe,Podgorica,static\countries\me\me.png,static\countries\me\1024.png
Madagascar,Africa,Antananarivo,static\countries\mg\mg.png,static\countries\mg\1024.png
Macedonia,Europe,Skopje,static\countries\mk\mk.png,static\countries\mk\1024.png
Mali,Africa,Bamako,static\countries\ml\ml.png,static\countries\ml\1024.png
Myanmar,Asia,Naypyidaw,static\countries\mm\mm.png,static\countries\mm\1024.png
Mongolia,Asia,Ulaanbaatar,static\countries\mn\mn.png,static\countries\mn\1024.png
Mauritania,Africa,Nouakchott,static\countries\mr\mr.png,static\countries\mr\1024.png
Malta,Europe,Valletta,static\countries\mt\mt.png,static\countries\mt\1024.png
Maldives,Asia,Male,static\countries\mv\mv.png,static\countries\mv\1024.png
Malawi,Africa,Lilongwe,static\countries\mw\mw.png,static\countries\mw\1024.png
Mexico,North America,Mexico City,static\countries\mx\mx.png,static\countries\mx\1024.png
Malaysia,Asia,Kuala Lumpur,static\countries\my\my.png,static\countries\my\1024.png
Mozambique,Africa,Maputo,static\countries\mz\mz.png,static\countries\mz\1024.png
Namibia,Africa,Windhoek,static\countries\na\na.png,static\countries\na\1024.png
Niger,Africa,Niamey,static\countries\ne\ne.png,static\countries\ne\1024.png
Nigeria,Africa,Abuja,static\countries\ng\ng.png,static\countries\ng\1024.png
Nicaragua,North America,Managua,static\countries\ni\ni.png,static\countries\ni\1024.png
Netherlands,Europe,Amsterdam,static\countries\nl\nl.png,static\countries\nl\1024.png
Norway,Europe,Oslo,static\countries\no\no.png,static\countries\no\1024.png
Nepal,Asia,Kathmandu,static\countries\np\np.png,static\countries\np\1024.png
